TIMS ID,Category,Item Status,UNSPSC,Minimum Sell Quantity,,,,,
3MA048011-20197,Cleaners & Chemicals,Active,47131800,50,,,,,
3MR007-00-15R01,PAPR,Active,46182000,1,,,,,
3MR021-14-00R01,PAPR,Active,46182000,1,,,,,
3MR021-41-02R01,PAPR,Active,46182000,1,,,,,
3MR022-00-03R01,PAPR,Active,46182000,1,,,,,
3MR022-12-00R01,PAPR,Active,46182000,1,,,,,
3MR022-45-00R01,PAPR,Active,46182000,1,,,,,
3MR024-00-02R01,PAPR,Active,46182000,1,,,,,
3MR051111-03201,Disposable Masks,Planned Termination,46182001,1,,,,,
3MR051111-50671,Disposable Masks,Active,46182001,1,,,,,
3MR051131-37185,Earplugs,Active,46181901,1,,,,,
3MR051131-37187,Earplugs,Active,46181901,1,,,,,
3MR051138-37951,PAPR,Active,46182000,1,,,,,
3MR053-575,Other Instruments & Accessories,Active,41111900,1,,,,,
3MR056-990,Other Instruments & Accessories,Active,41111900,1,,,,,
3MR059-045,Other Instruments & Accessories,Active,41111900,1,,,,,
3MR060-19-00R01,PAPR,Active,46182000,1,,,,,
3MR060-28-03R01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR060-39-01R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR060-46-34R01,PAPR,Active,46182000,1,,,,,
3MR060-49-02R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR061-32-04R01,Welding Lens - Passive,Active,46181700,1,,,,,
3MR061-35-04R01,PAPR,Active,46182000,1,,,,,
3MR061-44-01R01,PAPR,Active,46182000,1,,,,,
3MR1100,Earplugs,Active,46181901,200,,,,,
3MR1110,Earplugs,Active,46181901,1,,,,,
3MR11457-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11458-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11459-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11796-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11797-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11798-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11799-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11801-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11802-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11803-00000,Safety Glasses,Active,46181802,1,,,,,
3MR11815-00000,Safety Glasses,Active,46181802,20,,,,,
3MR11816-00000,Safety Glasses,Active,46181802,20,,,,,
3MR11817-00000,Safety Glasses,Active,46181802,20,,,,,
3MR11818-00000,Safety Glasses,Active,46181802,20,,,,,
3MR11819-00000,Safety Glasses,Active,46181802,20,,,,,
3MR11847-00000,Safety Glasses,Active,46181802,20,,,,,
3MR1260,Earplugs,Active,46181901,5,,,,,
3MR14246-00000,Safety Glasses,Active,46181802,1,,,,,
3MR14247-00000,Safety Glasses,Active,46181802,1,,,,,
3MR14248-00000,Safety Glasses,Active,46181802,1,,,,,
3MR15-5401-02SG,PAPR - Welding Helmets,Active,46182000,1,,,,,
3MR16-0905-SGV,PAPR - Welding Helmets,Active,46182000,1,,,,,
3MR16-0905-SGX,PAPR - Welding Helmets,Active,46182000,1,,,,,
3MR1620,Safety Goggles,Active,46181804,288,,,,,
3MR1800NL,Disposable Masks,Active,46182001,12,,,,,
3MR1860,Disposable Masks,Active,46182001,20,,,,,
3MR1860S,Disposable Masks,Active,46182001,20,,,,,
3MR2011HPC5B,Cleaners & Chemicals,Active,47131800,10,,,,,
3MR2071,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2076HF,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2078,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2091,"APR Masks, Cartridges & Filters",Active,46182005,2,,,,,
3MR2096,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2097,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2291,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2296,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR2297,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR231-01-30,PAPR,Active,46182000,1,,,,,
3MR256-02-00,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR256-02-01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR3500,Gas Monitors & Sensors,Active,41113100,1,,,,,
3MR3500B,Gas Monitors & Sensors,Active,41113100,1,,,,,
3MR3510,Gas Monitors & Sensors,Active,41113100,1,,,,,
3MR3520,Gas Monitors & Sensors,Active,41113100,5,,,,,
3MR3520B,Gas Monitors & Sensors,Active,41113100,1,,,,,
3MR3550,Gas Monitors & Sensors,Active,41113100,5,,,,,
3MR3551,Other Instruments & Accessories,Active,41111900,1,,,,,
3MR3720,Gas Monitors & Sensors,Active,41113100,1,,,,,
3MR450-00-01R12,PAPR,Active,46182000,1,,,,,
3MR450-01-01R20,"APR Masks, Cartridges & Filters",Active,46182005,20,,,,,
3MR451-02-01R01,PAPR,Active,46182000,1,,,,,
3MR453-00-01R06,PAPR,Active,46182000,1,,,,,
3MR453-01-01R06,PAPR,Active,46182000,6,,,,,
3MR453-03-01R06,PAPR,Active,46182000,1,,,,,
3MR453-03-02R06,PAPR,Active,46182000,1,,,,,
3MR456-02-01R06,PAPR,Planned Termination,46182000,1,,,,,
3MR456-03-01R06,PAPR,Active,46182000,6,,,,,
3MR501,Respiratory Accessories,Active,46182000,1,,,,,
3MR502,Respiratory Accessories,Active,46182000,1,,,,,
3MR504,Respiratory Accessories,Active,46182000,1,,,,,
3MR5101,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5103,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5122,Other Instruments & Accessories,Active,41111900,100,,,,,
3MR51P71,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR520-01-00R01,PAPR,Active,46182000,1,,,,,
3MR520-01-02R01,PAPR,Active,46182000,1,,,,,
3MR520-01-08R01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR520-01-21,PAPR,Active,46182000,1,,,,,
3MR520-01-60R01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR520-01-61,PAPR,Active,46182000,1,,,,,
3MR520-01-62,PAPR,Active,46182000,1,,,,,
3MR520-01-77,PAPR,Active,46182000,1,,,,,
3MR520-01-82,PAPR,Active,46182000,1,,,,,
3MR520-01-86R01,PAPR,Active,46182000,1,,,,,
3MR520-02-23R01,PAPR,Active,46182000,1,,,,,
3MR520-02-28R01,PAPR,Active,46182000,1,,,,,
3MR520-02-94R01,PAPR,Active,46182000,1,,,,,
3MR520-03-32R01,PAPR,Active,46182000,1,,,,,
3MR520-03-63R01,PAPR,Active,46182000,1,,,,,
3MR520-03-72,PAPR,Active,46182000,1,,,,,
3MR520-03-73,PAPR,Active,46182000,1,,,,,
3MR520-04-24,PAPR,Active,46182000,1,,,,,
3MR520-04-57R01,PAPR,Active,46182000,1,,,,,
3MR520-15-00,PAPR,Active,46182000,1,,,,,
3MR520-17-00,PAPR,Active,46182000,1,,,,,
3MR5201,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5203,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR521-01-43R01,PAPR,Active,46182000,1,,,,,
3MR522-01-01R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR522-02-34R01,Welding Lens - Passive,Active,46181700,1,,,,,
3MR523-01-28,PAPR,Active,46182000,1,,,,,
3MR523-01-29,PAPR,Active,46182000,1,,,,,
3MR524-01-04R01,PAPR,Active,46182000,1,,,,,
3MR524-01-19R01,PAPR,Active,46182000,1,,,,,
3MR526-01-10R01,PAPR,Active,46182000,1,,,,,
3MR526-01-13R01,PAPR,Active,46182000,1,,,,,
3MR527-01-01R01,PAPR,Active,46182000,1,,,,,
3MR527-01-15R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR527-01-19R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR527-01-22R01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR527-01-28R10,PAPR,Active,46182000,10,,,,,
3MR529-01-22R01,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR529-01-56R01,PAPR,Active,46182000,1,,,,,
3MR529-01-59R01,PAPR,Active,46182000,1,,,,,
3MR529-02-37R10,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR529-02-38R01,PAPR,Active,46182000,1,,,,,
3MR52P71,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5301,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5303,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR53P71,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5N11,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR5P71,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6001,"APR Masks, Cartridges & Filters",Active,46182005,2,,,,,
3MR6002,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6003,"APR Masks, Cartridges & Filters",Active,46182005,2,,,,,
3MR6004,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6005,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6006,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6009,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR601,Respiratory Accessories,Active,46182000,1,,,,,
3MR60921,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60922,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60923,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60924,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60925,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60926,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60928,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR60929,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6100,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6100DD,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6191,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6200,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6200DD,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6281,Respiratory Accessories,Active,46182000,1,,,,,
3MR6291,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6300,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6300DD,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6391,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6700,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6700DIN,"APR Masks, Cartridges & Filters",Active,46182005,4,,,,,
3MR6800,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6800DIN,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6800PF,Supplied Air Systems & Parts,Active,46182000,1,,,,,
3MR68097,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6862,"APR Masks, Cartridges & Filters",Active,46182005,1,,,,,
3MR6864,Respiratory Accessories,Active,46182000,1,,,,,
3MR6878,Respiratory Accessories,Active,46182000,1,,,,,
3MR6885,Respiratory Accessories,Active,46182000,25,,,,,
3MR6886,Respiratory Accessories,Active,46182000,1,,,,,
3MR6889,Respiratory Accessories,Active,46182000,10,,,,,
3MR6893,Respiratory Accessories,Active,46182000,40,,,,,
3MR6894,Respiratory Accessories,Active,46182000,1,,,,,
3MR6895,Respiratory Accessories,Active,46182000,20,,,,,
3MR6896,Respiratory Accessories,Active,46182000,1,,,,,
