Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
.NET DEVELOPER 5U LICENSE W/1 YEAR SUPPORT & UPGRADES BUNDLE                    ,2654979,4323270100,Application server software                                                     ,NONE  ,,,RED GATE SOFTWARE LTD                   ,1,No
.NET DEVELOPER BUNDLE 11 USER LICENSE 1 YEAR SUPPORT & UPGRADES                 ,2649991,4323230400,Data base management system software                                            ,NONE  ,,,RED GATE SOFTWARE LTD                   ,0,No
.NET REFLECTOR STD WIN 1 USER LICENSE                                           ,2657791,4323240300,Enterprise application integration software                                     ,NONE  ,,,RED GATE SOFTWARE LTD                   ,1,No
.NET REFLECTOR VS PRO 1 USER LICENSE                                            ,2621108,4323340500,Device drivers or system software                                               ,NONE  ,,,RED GATE SOFTWARE LTD                   ,1,No
.PRINT ANL LIC 1U 12 MO W/UPD & SPT SVC                                         ,2614697,4323340500,Device drivers or system software                                               ,NONE  ,,,THINPRINT                               ,0,No
.PRINT APP SVR ENG 32-BIT UPD SVC 12MO F/1 APP SVR                              ,2614921,4323340500,Device drivers or system software                                               ,NONE  ,,,THINPRINT                               ,0,No
.PRINT RDP ENGINE 32 BIT FOR 1 TERMINAL SERVER INCL 12 MONTHS UPDATE & SUPPORT  ,2616334,4323230300,Customer relationship management CRM software                                   ,NONE  ,,,THINPRINT                               ,0,No
.PRINT RDP ENGINE 32-BIT UPD SVC 12MO F/1 TS                                    ,2614923,4323340500,Device drivers or system software                                               ,NONE  ,,,THINPRINT                               ,0,No
.RPT INSPECTOR 3 PRO SUITE FOR CRYSTAL REPORTS 9 VERSION                        ,2648626,4323151300,Office suite software                                                           ,3,,,SOFTWARE FORCES                         ,1,No
1 ADDITIONAL YEAR OF MAINT PREPAID FOR VEEAM BACKUP & REPLICATION STD VMWARE    ,2619175,4323290700,Storage networking software                                                     ,NONE  ,,,VEEAM SOFTWARE                          ,1,No
1 ADDITIONAL YEAR OF PREM MAINT PREPAID FOR NWORKS SMART PLUG-IN FOR VMWARE     ,2656547,4323270100,Application server software                                                     ,NONE  ,,,VEEAM SOFTWARE                          ,1,No
1 APPLICATION IDA FOR MS EXCH SERVER ON WINDOWS. MATCH TO W-FSIDA               ,2605336,4323220200,Document management software                                                    ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
1 APPLICATION IDA FOR MS EXCHANGE SERVER FOR WINDOWS                            ,2607909,4323290700,Storage networking software                                                     ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",0,No
1 APPLICATION IDA FOR ORACLE DATABASE SERVER ON LINUX MATCH TO L-FS IDA         ,2611276,4323230400,Data base management system software                                            ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
1 APPLICATION IDA FOR ORACLE DATABASE SERVER ON LINUX MATCH TO L-FS IDA         ,2613825,4323230400,Data base management system software                                            ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
1 APPLICATION IDA FOR ORACLE DATABASE SERVER ON LINUX MATCH TO U-FS IDA         ,2613824,4323230400,Data base management system software                                            ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
1 BUNDLE OF 5 CDR-WINDOWS NODES FOR USE WITH VMWARE OR REMOTE SITE ENVIRONMENTS ,2504411,4323290700,Storage networking software                                                     ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
